Gender,Department,Education,Income,Age,Experience
Male,Tech,High School,45044.91376110561,19.033745377087826,18.33989087267067
Female,Tech,High School,38700.3339715523,39.99442849816251,6.88602593503231
Male,Sales,Master,40841.94003721885,37.32067005240413,5.938735975870724
Male,HR,High School,50272.49061755962,21.95863830938932,12.203430235003651
Male,Sales,High School,47202.64341616272,35.319804624514646,3.7686404386783785
Male,HR,Bachelor,33652.09579839758,34.00655306198737,9.294178270082684
Male,HR,High School,35394.38670536469,35.72292176261266,16.437474775229465
Male,Sales,Bachelor,28962.89847677517,37.90679283468722,5.365192233539799
Male,Tech,High School,55827.46025905222,31.88989137648627,4.05410654278386
Male,Tech,High School,34637.08259766013,32.90942021087115,5.502456394126906
Male,Tech,High School,47085.356948551576,36.892322407389415,12.695078705040956
Female,Finance,High School,52707.81417469303,31.67602958721968,13.374330159957438
Male,Finance,Master,55399.54473309512,37.332108649520364,8.462233609064473
Male,Tech,High School,44584.41370097842,26.98702166942052,12.049637212003208
Male,HR,Bachelor,40450.36051965208,34.31574657179898,14.170765982535968
Male,Finance,High School,55807.08989127236,17.325258069895884,15.362039243289477
Male,Tech,High School,38782.04048722635,33.09340308775114,9.260994156460455
Male,Tech,Master,55217.96802263857,39.30183058245951,3.09558484699004
Male,Finance,High School,46067.00931256844,33.933462806942394,7.5373632327709394
Male,Tech,Bachelor,48640.79993194823,39.755370809176085,8.719587415194226
Male,HR,PhD,32442.455959335774,24.25313677150519,9.223183610264828
Male,Tech,Bachelor,39967.53638592856,35.9778670221922,9.43642179697384
Male,Finance,Master,34553.9515937812,30.522816912505093,13.356683793792008
Male,Finance,High School,40186.72906404406,38.57288342700204,13.823285280062745
Male,Finance,High School,44166.33870316993,30.66769184348949,9.48497903822565
Male,Tech,High School,50091.23925835444,34.50727802676224,13.295454628155456
Male,Sales,Bachelor,35787.38028178014,13.276381285486703,11.072984099893269
Male,Sales,PhD,51231.6279206011,16.946917032581645,10.193517918587716
Male,Tech,High School,35416.016368626726,37.82504604716639,12.719632471329891
Male,Sales,Bachelor,32797.84487006394,32.98600624302148,10.216756144713749
Male,Tech,High School,41153.172650109984,37.71349594819722,16.173433531293288
Male,Tech,Bachelor,42509.0511622751,37.482974655947125,5.684766499616322
Male,Tech,High School,35448.504514512475,34.510197759754575,8.454487302723948
Female,Tech,PhD,29193.32919929967,40.12551260332528,9.62044330913815
Female,Tech,Bachelor,32140.131528781923,32.927445628763586,11.318358071373972
Male,HR,High School,42162.68908532532,35.95883433425936,13.803881461309269
Male,Tech,High School,34657.108959700185,31.514475160544897,9.92680429829153
Male,HR,High School,43678.06238385758,27.659981033578408,5.733311051481378
Male,Tech,High School,44572.74786848086,36.90236039206135,12.527541689365012
